"Board ID","Round ID","Dealer","Vulnerability","Team One IMPs","Team Two IMPs"
1998,129,4",B",9,-9
38116,2549,4",N",-1,1
51915,3488,4",B",-6,6
8817,585,4",N",-2,2
30301,2064,1",E",-19,19
35,2,2",B",-1,1
131,8,2",B",4,-4
49842,3351,2",E",-1,1
24444,1678,3",N",3,-3
80459,5328,1",B",-14,14
73787,4881,4",E",-1,1
62492,4155,2",N",-2,2
20743,1382,3",B",-14,14
49747,3345,3",E",-6,6
4830,320,4",E",8,-8
60446,4032,3",O",2,-2
19988,1333,1",B",2,-2
12682,842,1",N",-12,12
68670,4525,2",O",-2,2
26997,1854,4",E",-18,18
76196,5039,3",B",-1,1
13388,879,3",N",17,-17
53252,3576,1",O",-18,18
84657,5606,3",N",-1,1
46605,3125,3",E",-2,2
11811,789,1",B",-4,4
33226,2240,1",O",6,-6
1523,98,3",B",-11,11
56633,3790,4",E",12,-12
31111,2105,3",E",6,-6
39409,2637,3",N",-10,10
35793,2403,1",B",4,-4
19108,1266,3",E",-1,1
23265,1593,4",N",-1,1
10866,723,2",B",-2,2
78857,5215,3",B",-1,1
6141,407,2",N",-20,20
50886,3420,4",O",-3,3
4673,310,3",O",3,-3
8905,591,2",E",11,-11
10503,698,3",E",14,-14
28556,1951,3",B",-1,1
47214,3170,2",E",7,-7
79120,5236,3",O",-12,12
43211,2871,1",B",14,-14
52338,3515,1",O",-2,2
59711,3986,2",O",10,-10
33790,2278,2",B",-7,7
19637,1305,4",B",-8,8
79255,5247,4",O",-1,1
78136,5171,2",N",-1,1
77916,5156,2",O",3,-3
5373,357,4",O",-3,3
7178,476,1",O",-3,3
57916,3874,3",N",12,-12
59971,4002,4",B",14,-14
4252,283,1",E",-1,1
79250,5247,3",E",-1,1
43441,2889,2",B",-1,1
39164,2621,2",B",-4,4
18379,1216,1",N",-9,9
58272,3897,1",E",15,-15
9344,622,2",B",2,-2
73781,4880,2",O",3,-3
81949,5431,3",E",2,-2
62360,4147,2",E",-1,1
66196,4375,2",E",-1,1
46422,3110,3",N",4,-4
60410,4030,3",O",-11,11
45767,3063,2",O",-1,1
34110,2299,4",O",-2,2
18990,1258,3",E",-1,1
66082,4369,4",O",14,-14
73583,4866,4",O",2,-2
35407,2380,1",B",17,-17
43325,2879,1",N",-7,7
12837,850,4",O",-3,3
13706,895,1",E",-1,1
37118,2489,3",N",-1,1
81435,5393,2",N",-3,3
40902,2721,2",B",-7,7
6602,437,3",O",-1,1
56079,3760,2",O",3,-3
44116,2937,3",O",-1,1
62051,4129,2",N",-4,4
75137,4972,2",B",2,-2
86739,5749,2",E",-6,6
9468,630,1",B",-1,1
28833,1969,4",N",9,-9
79436,5260,4",N",13,-13
59152,3952,3",N",-1,1
49228,3311,1",E",8,-8
22835,1558,4",O",-1,1
55753,3739,2",N",-1,1
70961,4683,4",O",5,-5
68411,4507,3",N",-5,5
53542,3596,1",B",7,-7
9197,612,4",N",-7,7
63745,4232,1",E",-7,7
47469,3189,4",E",3,-3
5499,365,2",N",-1,1
66120,4371,2",N",-12,12
71783,4740,3",O",-3,3
82943,5496,1",O",2,-2
9461,629,2",N",2,-2
86267,5721,4",N",-1,1
30738,2086,2",E",4,-4
82619,5475,2",O",-1,1
60893,4059,2",O",-3,3
87321,5785,4",B",-9,9
29234,1995,2",B",-8,8
35221,2368,1",E",12,-12
71061,4689,2",N",12,-12
75720,5008,4",E",-4,4
16399,1081,1",B",14,-14
5305,352,4",O",-1,1
28313,1936,3",E",-2,2
73640,4870,1",E",4,-4
39066,2617,4",N",-1,1
64472,4274,4",O",-1,1
52196,3506,1",O",8,-8
17653,1166,2",N",2,-2
82706,5481,3",N",4,-4
125,7,4",O",-1,1
50953,3425,1",B",13,-13
51125,3436,1",E",-1,1
30251,2062,1",B",-1,1
76773,5079,3",O",2,-2
22510,1533,3",O",-7,7
7606,505,2",O",3,-3
40955,2724,4",B",-7,7
62611,4162,1",N",-3,3
69094,4553,4",N",13,-13
1753,114,3",O",-2,2
24065,1645,3",B",14,-14
87749,5813,2",B",14,-14
44195,2942,1",N",-1,1
71093,4691,4",N",-5,5
26340,1813,2",O",-1,1
17271,1140,3",E",-1,1
59843,3994,2",O",-6,6
61907,4120,2",E",-1,1
69427,4574,1",N",-7,7
15024,978,3",B",6,-6
77003,5093,1",O",-1,1
53010,3561,1",E",-15,15
83871,5556,2",O",-1,1
78786,5211,4",E",3,-3
36191,2429,4",B",4,-4
44948,2999,3",E",-1,1
50674,3406,4",O",-1,1
23150,1585,1",N",-1,1
8227,546,1",O",-3,3
33211,2239,4",E",-1,1
71694,4731,2",N",6,-6
62837,4176,3",B",14,-14
70425,4646,1",E",1,-1
2243,147,4",E",-1,1
55114,3698,3",B",7,-7
15174,988,1",E",6,-6
44142,2938,1",N",4,-4
42444,2824,4",O",-9,9
24333,1666,4",E",-1,1
44178,2941,4",N",-1,1
87020,5765,1",O",-1,1
36595,2456,2",E",-1,1
26191,1803,1",N",-1,1
77446,5126,3",E",-6,6
82755,5484,2",O",-4,4
33622,2266,3",O",-1,1
75619,5002,1",O",7,-7
14847,969,2",E",-19,19
55459,3721,4",N",-2,2
30434,2071,2",N",-11,11
46771,3136,4",B",-14,14
21412,1446,2",E",14,-14
48449,3254,3",O",12,-12
67800,4471,4",N",2,-2
3337,219,4",B",-1,1
84434,5592,4",E",-1,1
70342,4640,1",E",4,-4
86193,5716,2",O",-12,12
82733,5482,2",E",-14,14
33410,2251,1",O",-5,5
40014,2673,3",B",-10,10
19872,1323,2",O",-2,2
81043,5367,3",O",7,-7
36524,2451,1",E",-1,1
39178,2622,4",O",7,-7
1504,96,2",O",-8,8
40789,2715,1",B",-1,1
24858,1715,1",E",5,-5
68202,4495,2",E",3,-3
85512,5670,4",B",-4,4
44003,2929,3",E",-1,1
68378,4505,2",N",6,-6
15212,990,3",E",-1,1
3535,232,4",O",-3,3
74525,4927,3",B",2,-2
39731,2658,4",N",-1,1
81308,5384,1",B",-1,1
51309,3448,3",E",11,-11
27325,1874,4",O",-1,1
32498,2184,3",N",15,-15
54365,3650,2",O",-1,1
1663,107,2",E",2,-2
54896,3684,3",N",-3,3
56132,3763,3",O",-2,2
1465,93,1",O",-1,1
14107,923,1",N",-1,1
78119,5170,1",O",-1,1
85194,5641,4",O",-8,8
86697,5748,4",E",-18,18
38433,2569,4",N",-3,3
75535,4997,3",N",-1,1
6893,456,4",O",-1,1
6158,408,1",E",4,-4
11373,758,1",O",-11,11
66630,4399,4",B",-12,12
2742,181,2",O",-3,3
51481,3460,3",O",2,-2
69271,4564,1",E",-1,1
7612,506,4",E",-1,1
36455,2446,1",N",-1,1
42579,2833,2",B",-1,1
48275,3242,4",N",-2,2
49034,3297,3",O",12,-12
21024,1407,4",N",16,-16
36171,2428,2",B",-9,9
62218,4139,2",B",-7,7
76598,5067,4",O",-1,1
77211,5108,1",B",16,-16
67694,4463,2",N",3,-3
63216,4199,4",O",-1,1
44512,2964,2",N",15,-15
47105,3162,4",E",-14,14
58155,3889,4",E",-1,1
11709,782,1",B",7,-7
35468,2383,2",O",-9,9
20327,1356,3",B",15,-15
33792,2278,4",E",-3,3
72958,4823,2",N",-2,2
31871,2147,3",E",-7,7
13834,901,1",E",4,-4
21277,1433,1",O",-6,6
49232,3311,1",B",-1,1
67597,4458,1",O",-1,1
47976,3222,2",E",3,-3
14731,963,2",B",-1,1
47063,3157,2",N",-18,18
5231,347,3",B",4,-4
85425,5662,3",N",-3,3
60970,4064,3",N",-4,4
29181,1991,3",B",4,-4
6898,457,1",E",-10,10
71911,4748,1",O",-1,1
50992,3427,4",O",6,-6
36881,2474,3",O",-4,4
53200,3573,3",N",14,-14
60203,4017,4",B",-1,1
64217,4260,3",E",-1,1
22193,1505,1",N",-1,1
60324,4024,1",N",-1,1
25106,1733,3",B",11,-11
18090,1197,4",B",10,-10
60673,4045,2",E",13,-13
67369,4444,1",N",-1,1
30322,2065,2",B",13,-13
55171,3702,4",O",10,-10
47642,3200,2",O",-6,6
65500,4334,2",N",5,-5
23280,1594,3",N",13,-13
35492,2384,2",N",-9,9
21801,1479,1",O",-12,12
24157,1652,3",O",-6,6
80163,5309,4",N",-2,2
23439,1604,4",E",-1,1
15256,993,3",E",-3,3
68435,4508,3",O",-1,1
64686,4285,2",N",22,-22
25750,1774,2",O",13,-13
11829,790,3",E",3,-3
4723,312,2",B",-1,1
33302,2245,4",N",-8,8
36976,2480,2",B",13,-13
32454,2180,3",E",-13,13
60061,4008,2",E",-2,2
79060,5231,2",B",-1,1
85672,5683,1",N",3,-3
15881,1039,3",N",6,-6
79344,5253,4",B",11,-11
80225,5313,4",B",-1,1
9064,603,3",O",-3,3
19307,1281,3",E",-13,13
49828,3351,4",N",2,-2
83174,5512,2",O",-7,7
85582,5678,3",N",-1,1
82623,5475,2",N",12,-12
10322,686,4",E",7,-7
17616,1164,1",B",5,-5
75260,4980,2",E",13,-13
22799,1555,4",B",-1,1
19189,1273,2",B",-1,1
30056,2049,2",O",-4,4
73295,4846,4",O",4,-4
52876,3551,3",O",4,-4
14924,973,3",B",8,-8
49821,3350,1",O",7,-7
