"Zhmak","Kirilenko"
"Li Jin","China Macau"
"Burgess","Global"
"M.Bessis","Zimmermann"
"Zhuang","China SMEG"
"M SCHALTZ","DENMARK"
"Hanlon","Holders"
"QUINN Shaw","USA 2"
"Atkinson","Auckland"
"BURDIASHVI","GEORGIA"
"LEVY","ZIMMERMANN"
"Drewski","Lewis"
"BIANCHEDI ","ARGENTINA"
"PILIPOVIC","CROATIA"
"Po-Han","Chinese Taipei"
"CUTHBERTSON","Scotland"
"Wang Wei","Lu Cheng"
"David","Brazil"
"PIEDRA Fer","Contact 1"
"Reid","Reid (NZ)"
"Kalcic","Zmaj"
"Saurer","Austria"
"Ritzman","Dellecavakis"
"Ferlazzo","Catania"
"Hollands","Australia Youth"
"Sanborn","BAKER"
"Rabboni","Totani"
"Mizel","Team 1"
"SCHRAVERUS","GERMANY"
"Molberg J","Norway"
"He ZX","Taiwan Weiqun"
"Ino","SARA"
"Akama","NAITO"
"P. Huang","AIA"
"SILVERSTON","SCOTLAND"
"Milutinovi","Saina"
"Fantoni","TC Parioli"
"A Thomas","Wales"
"Yokoi","JAPAN YOUTH"
"Barbosa","Brum P"
"WilkinsonT","Scotland"
"Viola","Almirall"
"D'Avossa","TAMBURI"
"Mahmoud","Wadi Degla"
"Ciara Burns","Northern Ireland"
"Hammad","Egypt"
"Pratap","Gordon"
"CARIC J","CROATIA"
"stansby","METZLER"
"ROLL","ISRAEL"
"Batov","Rosenovo"
"SUGANDI","WEST JAVA"
"Fisher","Israel"
"Wijs","Netherland"
"NANEV","Bulgaria"
"Lukinskas","LITHUANIA"
"Buratti","Schwartz"
"Lin","Nan-Yuan"
"Hansa","Narasimhan"
"EREN","YILANKIRAN"
"Lebel","Koumetz"
"Engel","Belgium"
"Fera","CENTRAL JAVA"
"Pana","RIBITAS"
"Hanlon","Irlande"
"FURUTA","Japan"
"EIDI.M","LEBANON"
"T. Brown","Noble"
"MARIANI","DOSSENA"
"Popova","Batman"
"Ellia E.","Ellia"
"Kujawa","KALITA"
"York Liao","China Hongkong"
"FANTONI","TCP ANGELINI (Bove)"
"Gladysh","REAL"
"RUS","SLOVENIA"
"Upmark","Rosenthal"
"R DALAL","FORMIDABLES"
"Jacobs","Katz"
"AUKEN","All Stars"
"D Bilde","Denmark"
"Zimmerman","Zimmerman"
"Djuricic","SERBIA"
"Susek","Croatia"
"Arnolds","Netherlands"
"Ena Cleary","Republic of Ireland"
"Niajnko","Poland"
"Morath","Swedem"
"Fanly","Sulut Perjuangan "
"R Crichton","ACT"
"SEVERINI","PESCARA BRIDGE"
"LAURIA","ITALY-ANGELINI"
"Grue","Jacobs"
"Wignall","New Zealand"
"HESHMAT","EGYPT"
"Pramudya","Mitra Buana"
"JiangTong","Zhong Jian"
"GROTHEIM","Onstott"
"very","Geologi Timah B"
"Piekarek J","Germany"
"Kranyak","Kranyak"
"P O'Briain","Ireland"
"Philipsen","NS"
"Rogov","Commandos"
"Rose Yan","China Lady"
"Tessieres","Polytech Paris"
"STARKOWSKI","PUCZYNSKI"
"COENRAETS","Belgium"
"ROMBAUT","GROUPE FRANCE"
"Freddio","BO - Tamburrini"
"Fergani","CANADA"
"BAREL","Bareket Israeli NC"
"L. Stansby","USA I"
"LIVGARD","NORWAY"
"ROSENBERG ","APOLLOSOYOUZ"
"Justin","Crockfords"
"roll","ISRAEL"
"Michielsen","Netherlands Red"
"FURUTA","JAPAN"
"Tufnell","Canterbury"
"JANSMA","JANSMA"
"COHLER","DEUTSCH"
"Yang","chinese taipei"
"Braithwait","Haughie"
"COHEN","SCHWARTZ"
"P O Briain","CBAI"
"Fantoni","TC PARIOLI ITA"
"ZhangQiang","Jin Ying"
"MILLER Jeff","NEW ZEALAND"
"Wyer","Giura"
"Haughie","HAUGHIE"
"Wrang","BK S.T ERIK"
"Passell","Lynch"
"NAGASAKA","Shimizu"
"eide","Norway"
"M.V.SubbaR","Kaushik"
"eieio","NTU"
"G Gates","Bernstein"
"Jansma","USA"
"FRANSOS","ASS. NAPOLI BR. "
"WELLAND","Henner-Welland"
"DENNINGS","Wales"
"Casey","Wales"
"Muller Bau","NETHERLANDS"
"Kyle Larsen","Meltzer"
"McGOWAN","Scotland"
"Tan Li Yu","Singapore"
"T. Nunn","Rothfield"
"Melbourne","Hassett"
"Eighrari A","Hayet"
"Weingold","Antoniou"
"Budi MP","BANTEN"
"Pollack","Glasson"
"Gertsman","Harris"
"J.Y.Shih","Yeh Brothers"
"Magann","ACT"
"Viana","Brazil"
"Mintz","Israel"
"Lu QJ","Kunshan Zhonghai"
"ALLUJAS Gu","ARGENTINA"
"Leger","France"
"Liggins","Liggins"
"Miric","Saina"
"O Herbst","Herbst"
"PAOLUZI S","ITALIA 1"
"Paulissen","Modalfa"
"Vincent H","Spain"
"Bryony Y","Team 1"
"marston","Holland"
"Hurd","USA1"
"Rubins","LATVIA"
"HELGEMO","Monaco FM"
"Kujawa","TEAM2"
"Norris","DENMARK"
"GLADYSH","Russia"
"Gawecki","team 2"
"Krasnossel","KYRILENKO"
"Burn","DE BOTTON"
"Rombaut","France"
"Lynch","Lynch"
"Bompis","France"
"Hupka C","AUT"
"J.Dhondy","DHONDY"
"B Hamman","USA"
"J Ebery","Haughie"
"G.Treddini","Collins"
"GUNEV","BULGARIA K1"
"Sabourin","Canada"
"ZIA","USA1"
"Abecassis M","France"
"You Zheng","Tai Cang"
"Zawislak","POLAND"
"Collura","WILSON"
"Antonio Sementa","Eisenberg"
"Tamburelli","VARESE"
"Starkowsk","Computerland POL"
"Lam Mang","Macau Team B"
"golebiowsk","Computerland POL"
"Mariani","Firenze"
"landen","Harris"
"A.Kaplan","Belgium"
"Kenneth Konstam","Great Britain"
"VERSACE","BRENO BRIDGE"
"Peixoto","Maia"
"Casen","ONSTOTT"
"Forti","Siena"
"NOSATZKI","Israel"
"Wijs","Orange White"
"MESBUR","IRELAND"
"Paoluzi","FIGB 2"
"M Hughes","Australia"
"Andrei","Romania"
"Luntungan","Bank Mandiri Manado"
"A ZmudZinsk","Poland"
"JOHNSON","Belgium"
"D'AVOSSA","ZALESKI"
"Ben","VIC"
"VIST","Norway"
"W-Assaraf","Table 1"
"U Pszczola","Mixed"
"Renouard","de Monval"
"Paulissen","Het Witte Huis"
"ALBERTI","ALERTPLUS"
"Stansby","USA 2"
"Bakhshi","Rosen "
"BURAS","DE BOTTON"
"Rodwell","NICKELL"
"Sokolow","Joel"
"Matheson","Kroch"
"","Qi Zhong"
"YOKOI","Japan"
"Campbell","N Ireland"
"Ratynski","Leaders"
"J. Levin","USA"
"Panadero","Matujona"
"Xiao ZL","Taiwan Shuai"
"Andreoli","Bologna"
"Brogeland","Simon Gillis"
"Fritsche","GERMANY"
"Wu Z","CHINA"
"gotard","Germany"
"Rizzo","Ayacucho"
"Volhejn","Czech_Rep."
"Sawon","Bank Mandiri Dist X"
"Lo","Kolesnik"
"EKREN","FYRUN"
"Hamann","USA"
"GOLEBIOWSK","POLAND"
"Dai J.M.","China"
"Mullamphy","New South Wales"
"Villas-Boa","Chagas"
"Rodwell","Baze"
"Bertens","THE NETHERLANDS"
"C.Sampaio","Aloi"
"Lucaciu","Gruia"
"Antoff","Rosendorff"
"DOvidio","Auken"
"Griffiths","Chan"
"GIERULSKI","NATIONAL TEAM"
"HELNESS","Norway"
"J.SCHAFER","42"
"A KOWALSKI","JASSEM"
"Hayden","USA 1"
"ROBERTSEN","GROSS"
"Honti","Hungary"
"Migry","Israel"
"FERRARA","ITALY"
"Wang","Ning Bo"
"Jagniewski","BURAS"
"Berg","Vestfold 1"
"Scerri","Scerri"
"SHIELDS","Wales"
"LEVY","NC FRANCE"
"chagas","BRAZIL"
"CIMA","PAUNCZ"
"Synnott","Republic Of Ireland"
"Simons","Netherlands"
"G. H. Chen","GZ Orange"
"Chagas.G.","Chagas"
"Nick Sandqvist","Spring Foursomes"
"Ricciarell","Italy"
"Bourke","Neale"
"","Shenzhen"
"purkarthof","AUSTRIA"
"Kvangraven","Kristiansand BK"
"NABER Laur","ESTONIA"
"shea","Wales"
"Fred","Mane"
"zhao Jie","China"
"Burrows","Genc"
"Aytekin","Canakkale Bld.Spor"
"Wang WeiDo","He Wei Dong"
"Zhou JH","Ling Mu"
"irina Levi","BAKER"
"neve","France"
"Janz","Campos"
"YUEN M","ALERTPLUS"
"LIN","CHINA"
"Lusk","Australia Ladies"
"Shi Hao","China SMEG"
"West","FRANCE"
"Pollack","Quinn"
"R. Tanaka","NAITO"
"LIU Yi Qia","CHINA"
"Alonso","Budkin"
"Nunes","PARIOLI - ITALY"
"Draper","Team 1"
"Leung","Hong Kong"
"Olanski","AWAY"
"Zind","Canada"
"Gumby","Blackstock"
"Wooldridge","Fireman"
"Townsend","Simpson"
"BOCCHI","ALLEGRA TORINO"
"LEVIT-PORA","ISRAEL"
"pessoa","Portugal"
"Martens","TEAM1"
"Zia","USA 2"
"Xu HJ","Shanghai"
"brescoll.z","USA"
"C_VIOLA","Spain"
"FRIDLANDER","ISRAEL"
"Delle Cave","Nobel - Primavera"
"C.Sitala","Thailand"
"Welland","Auken"
