"Round ID","Tournament Name","Team One","Team Two"
1659,"Yeh Bros Cup","Yeh Bros","Netherlands"
1836,"B - 18th NEC CUP Quaterfinal","Mixed","Down Under"
5386,"2014 USBC SF A","Nickell","Bramley"
3517,"BBO4-2016EBTC","MONACO","CROATIA"
3570,"BBO4-2016EBTC","IRELAND","AUSTRIA"
4274,"45th PABFC","China","New Zealand"
2064,"Eur champ Pau","England","Latvia"
5405,"US Bridge Championship Schwartz vs_ Ekeblad","Schwartz","Ekeblad"
5226,"Division Nationale 1","ZIMMERMANN","DELFOUR"
984,"2007 Yeh Bros Cup Invitation","Yeh Brothers","Australia Oz One"
5464,"English Trials ","Wolfarth ","Simpson"
3615,"52nd EBTC-BBO1","ISRAEL","ENGLAND"
5301,"SchapiroSFs","Monachan","Wolfarth"
2772,"Fantoni Vacations - Greek Islands Festival","Dellecavakis","Antoniou"
690,"Brazilian Team Trials","Campos","Chagas"
5450,"A 2013 Vanderbilt SF","Rosenthal","Auken"
1204,"Camrose","N. Ireland","Wales"
2645,"EC 2004 Turkey-Italy","Turkey","Italy"
460,"HCL OPEN 2008","TEXAN ACES","SUNIL MACHAR"
4801,"Sao Paulo 2009","POLAND","ENGLAND"
3707,"BBO2 _ 51st European Team Championships","Hungary","Sweden"
4965,"Selection Francaise pour Pau 2008","Zimmermann","Salama"
722,"ITALIAN CLUB TEAMS CHAMPIONSHIPS 2012","REGGIO EMILIA","ALLEGRA"
2686,"EUBC - Bruges","Warsaw 1","Paris Sud"
4480,"6th European Champions Cup","DE BOTTON","TC PARIORI"
3525,"BBO2-2016EBTC","ROMANIA","PORTUGAL"
2902,"Spanish Teams Ch'ship","Almirall","Bordallo"
1732,"NEC CUP  Quarterfinal","POLAND","JAPAN"
1000,"2007 Yeh Bros Cup Invitation","USA 2","Italy 1"
1160,"2007 Camrose Trophy","Rep of Ireland","England"
4649,"SWISS OPEN CUP FINAL","RIBITAS","DUROS"
2419,"WMSG BEIJING 2008","ITALY","INDIA"
326,"Polish Premier League 2009 Final","DWORAN","SYGNITY"
4543,"52nd EBTC-BBO5","ITALY","SWEDEN"
4743,"Hellenic National Team Trials","Zotos","Karamanlis"
5320,"White House Juniors 2011 ","Israel Juniors","Sweden"
5378,"A Polish Premier League semifinal","Sygnity","Spojnia"
3435,"Venice cup 2007","FRANCE","CHINA"
616,"2010 Belgian Teams Final -S4_6","Squeeze","Bcob"
2001,"2015 Vanderbilt QFB","Monaco","Team Assael"
2909,"Interland NL-PL","Netherlands","Poland"
5296,"8th European Bridge Champion's Cup","ANGELINI","NC DENMARK"
305,"PRINCE TAKAMATSU MEMORIAL CUP","Red Pork Cutlet","TAJIMA"
415,"COPPA ITALIA 2006","T.C. PARIOLI - BOVE","RE - FORNACIARI"
1376,"Camrose","Wales","N Ireland"
644,"Polish First Division 2004 - finals","COMPUTERLAN","UNIA LESZNO"
5495,"10thWYTC Match B","USA1","Canada"
5550,"BBO6-2015WBTC-BB","SWEDEN","USA2"
3691,"41st WBTC-BBO5-VC","TURKEY","USA2"
2830,"2009 USBC A Round of 32","Meltzer","Nussbaum"
3356,"52nd EBTC-BBO2","ISRAEL","ITALY"
1205,"2007 Camrose Trophy","Holders","N Ireland"
1746,"BBO1-2015WBTC-BB","ENGLAND","USA1"
2561,"EBL Team Champs Malmoe 04","Sweden","Belgium"
4487,"A-4th SportAccord WMG-Teams","MONACO","ISRAEL"
