"Player Name","Team Name"
"Klaver","NETHERLANDS"
"nunes.c","ITALY"
"BAKKEREN","ORANGE"
"A Manurung","Indonesia Power 2"
"N Francis","Australia/India"
"Elcheich","Martens"
"Ruminska","Team 1"
"Szochan","AWAY"
"Hanlon","Hirst"
"tim verbee","Netherlands I"
"Mari","Bessis"
"Karbanovic","BELARUS"
"Ahmadi","EGYPT"
"Znamirowsk","Pietraszek"
"Lian Yong","Pu Dong"
"BAKHSHI","ENGLAND"
"Hanayama","Shimizu"
"Gold","Forrester"
"Leenhardt","Lasserre"
"VENTIN Jua","ARGENTINA"
"Drijver","Het Witte Huis 2"
"BESSIS T.","FRANCE"
"Gu Ling","Huan Qiu Shi Bao"
"Ja Hackett","J De Botton"
"Hallberg","Young Chelsea"
"LAKHDHAR MAD","Tunisia"
"Basabe","SPAIN"
"Peng JF","SPG Club"
"Jason H","Hirst"
"Barucchi","Izisel"
"Richman","Nagy"
"Seamon","Joel"
"De Tessie","Gaviard"
"Tan","JAPAN"
"EBER","South Africa"
"Dubinin","Avalanche BC"
"Fera","Djarum 1"
"Dechelette","Mejane"
"HARFOUCHE.","LEBANON"
"Mistretta","Catania Failla"
"S Tredinnick","Collins"
"Sz. Csipka","Harangozo"
"Venini","GENTILI - MI"
"A George","Indonesia"
"Reess","Neve"
"Wang LP","China Lady"
"ROSENBERG","CAYNE"
"C. S. Ma","GuangZhou"
"Segev","Israel"
"Pessanha","Miguel Sousa Guedes"
"Stuart T","Collins"
"S. Martell","B.C. Milano - Pozzi"
"Smirnov","Bamberger Reiter"
"Y.Q. Liu","CHINA"
"Haughie","Rosendorff"
"Gumby","Gumby"
"Bertolucci","ITALY"
"JEZIORO","POLAND"
"Fleury","Clichy B.C. 1"
"Shen MK","Cai Fu Zheng Quan "
"Solukov","Stara Zagora"
"Apteker","SOUTH AFRICA"
"Pazur B.","UNIA"
"D'arcy","Wellington"
"Grosset","Robert"
"Christy","Indonesia"
"G.GUNDOGDU","YILANKIRAN"
"Manno","Catania Failla"
"SACUL.D","INDONESIA"
"SUTHERLIN","KASLE"
"Kulchycky","Ireland"
"Poroshin","FAKEL"
"LENGY","Israel"
"BIANCHEDI","ZALENSKI"
"Welland","Auken"
"ZORIC","CROATIA"
"DOXIADIS","GREECE"
"McAllister","Baseggio"
"Li Jian We","GZ Orange"
"J. Scherme","EKEBLAD"
"Schwartz","SCHWARTZ"
"Watulingas","Indonesia"
"DE GRAVE","Belgium"
"Feldman","The Ninjas"
"Jill Levin","Narasimhan"
"VERHEES Jr","NETHERLANDS"
"CHAMBERS","LYNCH"
"SHENKIN","MAHAFFEY"
"Denny","Sulut SBTW"
"POIZAT","FRANCE"
"Garner","JACOBS"
"Shengming","China 1"
"Resta","ITALY"
"Allouche G","France"
"CHOKSHI.S","INDIA"
"Santje P","Djarum 1"
"Lu Jun","Tai Cang"
"Matheson","Sime"
"Goodman","Goodman"
"WENNING","Germany"
"DIKLIC","CROATIA"
"LETIZIA","USA"
"ZHANG L G","Beijing Hong Niu"
"Amsel Alon","Squeeze"
"Cai C","Jiangsu"
"Patcharee","Thailand"
"DISLEY","Wales"
"Jacobs","USA 1 "
"Hoffman R","ISR"
"LAIR","LYNCH"
"Zhang YL","Huan Qiu Shi Bao"
"Lund Madsen M","DEN"
"Wichman","Spain"
"Sandqvist","England"
"Eidur Magnuss","ICE"
"Lund","Heimdal"
"North","QUINN"
"Lasserre","FRANCE"
"Jiang Tong","Zhong Jian"
"T. Brown","Noble"
"McGANN","MORAN"
"Smith","L'Ecuyer"
"Fong Kien ","Singapore"
"EIDI M","FANTONAKIS"
"BEZUGLAYA","8-5-0-0"
"Bakhshi","NEDUK"
"Gaviard","France"
"Price","Rosen "
"CHAGAS Gab","BRAZIL"
"Rosendorf","Marston"
"Woodcock","Team 2"
"HUGONY","VINCI"
"Brunner","Hakett"
"Brewiak","Grunt"
"Zdzienicki","Poland"
"LASSERRE","LEENHARDT"
"KARPOV","ESTONIA"
"Lim","Mal - Phi"
"LAURIA","BRIDGE CLUB REAL"
"Dauvergne","FRANCE"
"Baron NG","China Hongkong"
"Huang DX","Taiwan Longkatong"
"Pat Griffi","Bernstein"
"MARTEL","USA2"
"Bauch","Bauch"
"elinescu","Bamberger Reiter"
"Passarinho","Matujona"
"S. DELEVA","PENFOLD"
"Kanervo M","FIN"
"Berkowitz","SCHWARTZ"
"Salt","Callaghan"
"Campanile","Israel"
"Macdougall","Team 1"
"KOVACS Mih","HUNGARY"
"Churlin","Real"
"Seguineau","Paris Polytechnix"
"Zatorski","Poland U20"
"LEVY AF","ALAIN LEVY"
"Sacul ","DKI Jaya"
"Colotto","VAL MAGRA - PATANE'"
"Kalian","PENFOLD"
"Zimmermann","ZIMMERMANN"
"RUIA","India"
"Nunes","ANGELINI"
"Lazard","Cayne"
"Y Ronggo P","DiY"
"Armstrong","Armstrong"
"FANTONI","MONACO  Z"
"Krawczyk","Slaska"
"bompis","Open"
"Katz","USA 1 "
"Fournier","FOURNIER"
"VOLL","FYRUN"
"Ge JB","SANY"
"Proojien","NETHERLANDS"
"Schermer","Kasle"
"CORNELL","NEW ZEALAND"
"ELKIN","ARGENTINA"
"Carruthers","USA Stansby"
"Grue","Jacobs"
"Xu HJ","Shanghai"
" Kaplan","VIC"
"Fredin","DeKnijff"
"He ZY","Jiangsu"
"MEYERS","USA 1"
"M.Hendrawa","DKI JAYA"
"DUPININ","APOLLOSOYOUZ"
"Baxter","Scotland"
"ZWOL","NETHERLANDS"
"Zack","ISRAEL"
"Campos","D'Orsi - Chagas"
"Aloi","Chagas"
"Biondo","LOY"
"Byrne","England"
"CAVIEZEL","Italy"
"MARI Chris","LAFFINEUR"
"M.Nomura","Kacho Fugetsu"
"L. STANSBY","USA 1"
"Manna","India"
"Molson","MOSS"
"Hop","STAR"
"Mroczkowsk","EW"
"Stevens","Scotland"
"Hoderova","Czech Republic"
"Fantoni","ITALY ANGELINI"
"SILVERSTON","SCOTLAND"
"LAURIA","ITALY-ANGELINI"
"Leenhardt","Adad"
"YANG Hsin-","CHI TAIPEI"
"Pelletier","Frukacz"
"KROEJGAARD","DENMARK RED"
"Leung","Hong Kong"
"JELENIEWSK","Suwik"
"P.O'Briain","CBAI"
"Bjornlund","Gillis"
"G JONES","Wales"
"GALAKTION","RUSSIA"
"QUANTIN","QUANTIN"
"Harr","Tromso 2"
"Herbst O.","Herbst"
"Su GZ","Tai Nan"
"MALADA","LAVAZZA"
"RASMUSSEN","DENMARK"
"Niekawa","Japan"
"J.Grue","USA Cheek"
"Kamil","Sherman npc"
"Shen JX","Ping An Club"
"T.BESSIS","ZALESKI"
"Gromova","GRNC Russia"
"Heads","Budkin"
"C Hughes","Gaspar"
"Sacul","INDONESIA"
"Wang YW","Sheng Tao Sha"
"Z.Marcinsk","Canada"
"FRACTMAN","SPAIN"
"JAGNIEWSKI","ROSSARD"
"Heshmat","EGYPT"
"CIMON","CANADA"
"Stoppa","DELFOUR"
"Eisenberg","Izisel"
"Todorovic","Serbia"
"Vucic","Serbia"
"Liao Y","Hong Kong"
"Bentzen","Norway"
"M.Whibley","New Zealand"
"JP Campos","JEOVANI"
"Stretz","PIGANEAU"
"LEENHARDT ","LEENHARDT"
"Eglseer","AUSTRIA"
"BOMPIS Mar","FRANCE"
"Buras","Team 2"
"PangKerego","Indonesia"
"BUDI","BANTEN"
"Bessis T","BESSIS"
"Shanurin","Team 1"
"STANSBY","EKEBLAD"
"Wu ShangJi","Beijing Xinyuan"
"Asbury","Lien"
"Hop","Netherlands blue"
"Raynaud","Caen B.C."
"Campbell","The Werewolves"
"Sandquist","Sandqvist"
"Hyett","England"
"LAURIA C.","LAURIA"
"Barbosa","PORTUGAL"
"Markovics","Jacobs"
"Lindop","Kovacich"
"North","GREENBERG"
"Sun SL","Beijing Capital"
"","Zhongjian"
"Whyte","New Zealand"
"Unver","Ergil"
"Armannsson","Iceland"
"D Greenw'd","North Ire"
"Ferraro","Gr.Sp.Ass. Allegra"
